100;1528;116200
200;3422;128000
300;5499;204900
400;7655;191200
500;9845;54900
600;12172;78800
700;14534;74000
800;16927;88200
900;19294;96500
1000;21701;113300
1100;24196;131000
1200;26718;128800
1300;29293;161600
1400;31864;173200
1500;34428;184900
1600;36949;199100
1700;39575;221000
1800;42153;236500
1900;44741;234500
2000;47361;244300
2100;50024;250100
2200;52727;281300
2300;55590;283500
2400;58318;491300
2500;60984;329400
2600;63776;352600
2700;66523;376600
2800;69290;395900
2900;72136;409700
3000;74836;417100
3100;77590;452400
3200;80407;453000
3300;83176;467100
3400;85976;481000
3500;88696;498600
3600;91472;513400
3700;94316;504800
3800;97173;543300
3900;99922;590800
4000;102737;610900
4100;105421;577200
4200;108490;573600
4300;111413;604500
4400;114361;643800
4500;117313;607700
4600;120287;638500
4700;123197;704700
4800;126139;693600
4900;129062;498700
5000;132041;649700
5100;135064;671600
5200;137935;690500
5300;140812;715600
5400;143914;786000
5500;146770;773700
5600;149875;720900
5700;152760;707900
5800;155769;759700
5900;158671;830800
6000;161668;822200
6100;164591;773600
6200;167483;735300
6300;170632;797800
6400;173602;703500
6500;176531;824400
6600;179452;861300
6700;182592;876300
6800;185493;871400
6900;188441;833800
7000;191439;847800
7100;194523;824600
7200;197489;936400
7300;200438;982200
7400;203364;884100
7500;206453;964900
7600;209407;993600
7700;212589;828400
7800;215451;1007200
7900;218386;840300
8000;221379;881200
8100;224433;778200
8200;227468;808100
8300;230648;1009900
8400;233756;1041600
8500;236870;1012600
8600;240032;1014900
8700;243114;1018600
8800;246286;1037100
8900;249349;940900
9000;252674;891000
9100;255684;1106100
9200;258803;1065300
9300;261980;1060700
9400;265211;1171200
9500;268348;1145800
9600;271459;1201800
9700;274616;1379600
9800;277697;1526900
9900;280880;1440300
